,title,score,duration,region,poster
0,理查德·朱维尔的哀歌,8.2,131分钟,美国,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2578705064.jpg
1,变身特工,7.5,102分钟,美国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2577340942.jpg
2,紫罗兰永恒花园外传：永远与自动手记人偶,7.5,91分钟,日本,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2578722076.jpg
3,灭绝,5.6,93分钟(中国大陆),美国,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2579512247.jpg
4,鲨海逃生,5.2,89分钟,英国,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2578721161.jpg
5,我在时间尽头等你,0,115分钟,中国大陆,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2585460940.jpg
